# Force and moment coefficients
# dragDir               : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# rollAxis              : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# magUInf               : 2.4800000000000000e+02
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e-02
# CofR                  : (2.5000000000000000e-01 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
8254                    	1.4146804480482680e-02	3.5846285020856897e-03	1.0562175978396990e-02	6.9775475276383969e-01	2.5891679147693697e-01	4.3883796128690272e-01	-8.9960584904982849e-02	-3.4887737381556505e-03	7.0734096126106184e-05	-7.7513981813418029e-10	7.0733708556197116e-05	-7.0734483696015252e-05
8255                    	1.4149666378677130e-02	3.5859719588906564e-03	1.0563694419786473e-02	6.9777225122172581e-01	2.5891312727449384e-01	4.3885912394723192e-01	-8.9972998336369014e-02	-3.4888612304479084e-03	7.0748405547835095e-05	-7.7523872254850148e-10	7.0748017928473817e-05	-7.0748793167196372e-05
8256                    	1.4146366232462579e-02	3.5843995815512935e-03	1.0561966650911286e-02	6.9775671206881118e-01	2.5891753925674371e-01	4.3883917281206741e-01	-8.9960816777661823e-02	-3.4887835346799961e-03	7.0731904885451167e-05	-7.7515154188379496e-10	7.0731517309680238e-05	-7.0732292461222123e-05
8257                    	1.4149150396284154e-02	3.5857084918790934e-03	1.0563441904405059e-02	6.9777334638484467e-01	2.5891414231268717e-01	4.3885920407215756e-01	-8.9972530879735210e-02	-3.4888667062629832e-03	7.0745825635259448e-05	-7.7525050090142446e-10	7.0745438010008988e-05	-7.0746213260509895e-05
8258                    	1.4145978281152273e-02	3.5841991769052597e-03	1.0561779104247014e-02	6.9775799786709003e-01	2.5891867253347467e-01	4.3883932533361542e-01	-8.9960326400070359e-02	-3.4887899636708770e-03	7.0729965128411265e-05	-7.7516313284211703e-10	7.0729577546844842e-05	-7.0730352709977689e-05
8259                    	1.4149449451743889e-02	3.5858440812567035e-03	1.0563605370487186e-02	6.9777613405539796e-01	2.5891513010985256e-01	4.3886100394554539e-01	-8.9972936917846399e-02	-3.4888806446152407e-03	7.0747320912209911e-05	-7.7526188268347303e-10	7.0746933281268568e-05	-7.0747708543151253e-05
8260                    	1.4146604840962831e-02	3.5845017130083519e-03	1.0562103127954478e-02	6.9776014662763275e-01	2.5891988919301873e-01	4.3884025743461408e-01	-8.9960184120797662e-02	-3.4888007074730630e-03	7.0733097927024632e-05	-7.7517461504213348e-10	7.0732710339717114e-05	-7.0733485514332150e-05
8261                    	1.4149709616906918e-02	3.5859708686190026e-03	1.0563738748287917e-02	6.9777679309934415e-01	2.5891661589977910e-01	4.3886017719956510e-01	-8.9971780649892974e-02	-3.4888839398344567e-03	7.0748621737460406e-05	-7.7527351939387598e-10	7.0748234100700706e-05	-7.0749009374220092e-05
8262                    	1.4146551907639152e-02	3.5844665339403075e-03	1.0562085373698842e-02	6.9776188910897652e-01	2.5892101876120799e-01	4.3884087034776853e-01	-8.9959925793280285e-02	-3.4888094198792679e-03	7.0732833259981007e-05	-7.7518604907579965e-10	7.0732445666956477e-05	-7.0733220853005550e-05
8263                    	1.4149283478407210e-02	3.5857427268049381e-03	1.0563540751602273e-02	6.9777980761229075e-01	2.5891712497099723e-01	4.3886268264129352e-01	-8.9972778835148162e-02	-3.4888990123986669e-03	7.0746491044622055e-05	-7.7528482195139413e-10	7.0746103402211086e-05	-7.0746878687033023e-05
